"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 13 18:37:19 MSK 2023","Fri Jan 13 18:37:19 MSK 2023","381","","tests.TransitionInConstructorTest","","tests.TransitionInConstructorTest","transitionToSaucesInConstructorTest[driver: chromedriver]","Переход на вкладку 'Соусы'","Проверяем переход на вкладку 'Соусы' и видимость картинки с 'соусом'."
"passed","Fri Jan 13 18:36:47 MSK 2023","Fri Jan 13 18:36:49 MSK 2023","1392","","tests.LoginTest","","tests.LoginTest","authorizationByAccountButtonTest[driver: yandexdriver]","Авторизация через кнопку 'Личный кабинет'.","Проверяем вход через кнопку 'Личный кабинет' и видимость элемента текста 'Соберите бургер' на главной странице."
"passed","Fri Jan 13 18:38:16 MSK 2023","Fri Jan 13 18:38:17 MSK 2023","725","","tests.TransitionInProfilePageTest","","tests.TransitionInProfilePageTest","transitionToStellarBurgersFromProfilePageTest[driver: yandexdriver]","Клик по логотипу 'Stellar Burgers'","Проверяем переход на главную страницу, кликнув по логотипу со страницы авторизации, и видимость текста на главной странице 'Соберите бургер'."
"passed","Fri Jan 13 18:37:10 MSK 2023","Fri Jan 13 18:37:11 MSK 2023","1642","","tests.RegistrationTest","","tests.RegistrationTest","successRegistrationTest[driver: yandexdriver]","Успешная регистрация пользователя.","Проверяем успешную регистрацию пользователя и видимость текста 'Вход' на странице авторизации."
"passed","Fri Jan 13 18:38:01 MSK 2023","Fri Jan 13 18:38:01 MSK 2023","312","","tests.TransitionInProfilePageTest","","tests.TransitionInProfilePageTest","transitionToProfilePageTest[driver: chromedriver]","Переход на страницу личного кабинета.","Проверяем переход на страницу авторизации и видимость заголовка 'Вход' на ней."
"passed","Fri Jan 13 18:37:24 MSK 2023","Fri Jan 13 18:37:24 MSK 2023","381","","tests.TransitionInConstructorTest","","tests.TransitionInConstructorTest","transitionToFillingsInConstructorTest[driver: chromedriver]","Переход на вкладку 'Начинки'","Проверяем переход на вкладку 'Начинки' и видимость картинки с 'начинкой'."
"passed","Fri Jan 13 18:38:20 MSK 2023","Fri Jan 13 18:38:21 MSK 2023","593","","tests.TransitionInProfilePageTest","","tests.TransitionInProfilePageTest","transitionToProfilePageTest[driver: yandexdriver]","Переход на страницу личного кабинета.","Проверяем переход на страницу авторизации и видимость заголовка 'Вход' на ней."
"passed","Fri Jan 13 18:36:36 MSK 2023","Fri Jan 13 18:36:38 MSK 2023","2199","","tests.LoginTest","","tests.LoginTest","authorizationByRegisterFormTest[driver: chromedriver]","Авторизация через форму регистрации.","Проверяем вход через форму регистрации и видимость элемента текста 'Соберите бургер' на главной странице."
"passed","Fri Jan 13 18:37:15 MSK 2023","Fri Jan 13 18:37:16 MSK 2023","1014","","tests.RegistrationTest","","tests.RegistrationTest","failedRegistrationTest[driver: yandexdriver]","Неуспешная регистрация пользователя.","Проверяем неуспешную регистрацию пользователя и ловим ошибку текста 'Некорректный пароль' на странице регистрации при вводе пароля меньше 6 символов."
"passed","Fri Jan 13 18:37:49 MSK 2023","Fri Jan 13 18:37:51 MSK 2023","1951","","tests.TransitionInProfilePageTest","","tests.TransitionInProfilePageTest","transitionToProfilePageWithAuthUserTest[driver: chromedriver]","Переход на страницу личного кабинета с авторизацией.","Проверяем переход на страницу личного кабинета зарегистрированного и авторизованного пользователя и видимость заголовка 'Вход' на ней."
"passed","Fri Jan 13 18:37:02 MSK 2023","Fri Jan 13 18:37:04 MSK 2023","1385","","tests.RegistrationTest","","tests.RegistrationTest","successRegistrationTest[driver: chromedriver]","Успешная регистрация пользователя.","Проверяем успешную регистрацию пользователя и видимость текста 'Вход' на странице авторизации."
"passed","Fri Jan 13 18:36:42 MSK 2023","Fri Jan 13 18:36:43 MSK 2023","1614","","tests.LoginTest","","tests.LoginTest","authorizationByRecoverPasswordTest[driver: yandexdriver]","Авторизация через форму восстановления пароля.","Проверяем вход через форму восстановления пароля и видимость элемента текста 'Соберите бургер' на главной странице."
"passed","Fri Jan 13 18:36:52 MSK 2023","Fri Jan 13 18:36:54 MSK 2023","1390","","tests.LoginTest","","tests.LoginTest","authorizationByLoginButtonTest[driver: yandexdriver]","Авторизация через кнопку 'Войти в аккаунт'.","Проверяем вход через кнопку 'Войти в аккаунт' и видимость элемента текста 'Соберите бургер' на главной странице."
"passed","Fri Jan 13 18:38:10 MSK 2023","Fri Jan 13 18:38:13 MSK 2023","2809","","tests.TransitionInProfilePageTest","","tests.TransitionInProfilePageTest","exitFromProfileTest[driver: yandexdriver]","'Выход' из личного кабинета","Проверяем кнопку 'Выход' в личном кабинете и видимость текста заголовка 'Вход' на странице авторизации."
"passed","Fri Jan 13 18:37:42 MSK 2023","Fri Jan 13 18:37:42 MSK 2023","632","","tests.TransitionInConstructorTest","","tests.TransitionInConstructorTest","transitionToFillingsInConstructorTest[driver: yandexdriver]","Переход на вкладку 'Начинки'","Проверяем переход на вкладку 'Начинки' и видимость картинки с 'начинкой'."
"passed","Fri Jan 13 18:36:33 MSK 2023","Fri Jan 13 18:36:34 MSK 2023","1180","","tests.LoginTest","","tests.LoginTest","authorizationByLoginButtonTest[driver: chromedriver]","Авторизация через кнопку 'Войти в аккаунт'.","Проверяем вход через кнопку 'Войти в аккаунт' и видимость элемента текста 'Соберите бургер' на главной странице."
"passed","Fri Jan 13 18:36:25 MSK 2023","Fri Jan 13 18:36:27 MSK 2023","1670","","tests.LoginTest","","tests.LoginTest","authorizationByRecoverPasswordTest[driver: chromedriver]","Авторизация через форму восстановления пароля.","Проверяем вход через форму восстановления пароля и видимость элемента текста 'Соберите бургер' на главной странице."
"passed","Fri Jan 13 18:37:46 MSK 2023","Fri Jan 13 18:37:47 MSK 2023","1080","","tests.TransitionInConstructorTest","","tests.TransitionInConstructorTest","transitionToBunsInConstructorTest[driver: yandexdriver]","Переход на вкладку 'Булки'","Проверяем переход на вкладку 'Булки' и видимость первой картинки с 'булкой'."
"passed","Fri Jan 13 18:37:21 MSK 2023","Fri Jan 13 18:37:22 MSK 2023","526","","tests.TransitionInConstructorTest","","tests.TransitionInConstructorTest","transitionToConstructorFromProfilePageTest[driver: chromedriver]","Переход в конструктор из личного кабинета.","Проверка перехода на вкладку 'Конструктор' из страницы авторизации пользователя."
"passed","Fri Jan 13 18:37:58 MSK 2023","Fri Jan 13 18:37:59 MSK 2023","475","","tests.TransitionInProfilePageTest","","tests.TransitionInProfilePageTest","transitionToStellarBurgersFromProfilePageTest[driver: chromedriver]","Клик по логотипу 'Stellar Burgers'","Проверяем переход на главную страницу, кликнув по логотипу со страницы авторизации, и видимость текста на главной странице 'Соберите бургер'."
"passed","Fri Jan 13 18:37:27 MSK 2023","Fri Jan 13 18:37:27 MSK 2023","659","","tests.TransitionInConstructorTest","","tests.TransitionInConstructorTest","transitionToBunsInConstructorTest[driver: chromedriver]","Переход на вкладку 'Булки'","Проверяем переход на вкладку 'Булки' и видимость первой картинки с 'булкой'."
"passed","Fri Jan 13 18:37:37 MSK 2023","Fri Jan 13 18:37:38 MSK 2023","725","","tests.TransitionInConstructorTest","","tests.TransitionInConstructorTest","transitionToConstructorFromProfilePageTest[driver: yandexdriver]","Переход в конструктор из личного кабинета.","Проверка перехода на вкладку 'Конструктор' из страницы авторизации пользователя."
"passed","Fri Jan 13 18:36:58 MSK 2023","Fri Jan 13 18:37:00 MSK 2023","2333","","tests.LoginTest","","tests.LoginTest","authorizationByRegisterFormTest[driver: yandexdriver]","Авторизация через форму регистрации.","Проверяем вход через форму регистрации и видимость элемента текста 'Соберите бургер' на главной странице."
"passed","Fri Jan 13 18:36:29 MSK 2023","Fri Jan 13 18:36:30 MSK 2023","1167","","tests.LoginTest","","tests.LoginTest","authorizationByAccountButtonTest[driver: chromedriver]","Авторизация через кнопку 'Личный кабинет'.","Проверяем вход через кнопку 'Личный кабинет' и видимость элемента текста 'Соберите бургер' на главной странице."
"passed","Fri Jan 13 18:37:32 MSK 2023","Fri Jan 13 18:37:33 MSK 2023","632","","tests.TransitionInConstructorTest","","tests.TransitionInConstructorTest","transitionToSaucesInConstructorTest[driver: yandexdriver]","Переход на вкладку 'Соусы'","Проверяем переход на вкладку 'Соусы' и видимость картинки с 'соусом'."
"passed","Fri Jan 13 18:38:05 MSK 2023","Fri Jan 13 18:38:07 MSK 2023","2099","","tests.TransitionInProfilePageTest","","tests.TransitionInProfilePageTest","transitionToProfilePageWithAuthUserTest[driver: yandexdriver]","Переход на страницу личного кабинета с авторизацией.","Проверяем переход на страницу личного кабинета зарегистрированного и авторизованного пользователя и видимость заголовка 'Вход' на ней."
"passed","Fri Jan 13 18:37:06 MSK 2023","Fri Jan 13 18:37:07 MSK 2023","759","","tests.RegistrationTest","","tests.RegistrationTest","failedRegistrationTest[driver: chromedriver]","Неуспешная регистрация пользователя.","Проверяем неуспешную регистрацию пользователя и ловим ошибку текста 'Некорректный пароль' на странице регистрации при вводе пароля меньше 6 символов."
"passed","Fri Jan 13 18:37:54 MSK 2023","Fri Jan 13 18:37:56 MSK 2023","2514","","tests.TransitionInProfilePageTest","","tests.TransitionInProfilePageTest","exitFromProfileTest[driver: chromedriver]","'Выход' из личного кабинета","Проверяем кнопку 'Выход' в личном кабинете и видимость текста заголовка 'Вход' на странице авторизации."
